event_name,r_fighter,b_fighter,weight_class,is_title_bout
UFC 299: O'Malley vs. Vera 2,Sean O'Malley,Marlon Vera,UFC Bantamweight Title,1
UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski,Ilia Topuria,UFC Featherweight Title,1
UFC 297: Strickland vs. Du Plessis,Sean Strickland,Dricus Du Plessis,UFC Middleweight Title,1
UFC 297: Strickland vs. Du Plessis,Raquel Pennington,Mayra Bueno Silva,UFC Women's Bantamweight Title,1
UFC 296: Edwards vs. Covington,Leon Edwards,Colby Covington,UFC Welterweight Title,1
UFC 296: Edwards vs. Covington,Alexandre Pantoja,Brandon Royval,UFC Flyweight Title,1
UFC 295: Prochazka vs. Pereira,Jiri Prochazka,Alex Pereira,UFC Light Heavyweight Title,1
UFC 295: Prochazka vs. Pereira,Sergei Pavlovich,Tom Aspinall,UFC Interim Heavyweight Title,1
UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev,Alexander Volkanovski,UFC Lightweight Title,1
UFC 293: Adesanya vs. Strickland,Israel Adesanya,Sean Strickland,UFC Middleweight Title,1
UFC 292: Sterling vs. O'Malley,Aljamain Sterling,Sean O'Malley,UFC Bantamweight Title,1
UFC 292: Sterling vs. O'Malley,Zhang Weili,Amanda Lemos,UFC Women's Strawweight Title,1
UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski,Yair Rodriguez,UFC Featherweight Title,1
UFC 290: Volkanovski vs. Rodriguez,Brandon Moreno,Alexandre Pantoja,UFC Flyweight Title,1
UFC 289: Nunes vs. Aldana,Amanda Nunes,Irene Aldana,UFC Women's Bantamweight Title,1
UFC 288: Sterling vs. Cejudo,Aljamain Sterling,Henry Cejudo,UFC Bantamweight Title,1
UFC 287: Pereira vs. Adesanya 2,Alex Pereira,Israel Adesanya,UFC Middleweight Title,1
UFC 286: Edwards vs. Usman 3,Leon Edwards,Kamaru Usman,UFC Welterweight Title,1
UFC 285: Jones vs. Gane,Jon Jones,Ciryl Gane,UFC Heavyweight Title,1
UFC 285: Jones vs. Gane,Valentina Shevchenko,Alexa Grasso,UFC Women's Flyweight Title,1
UFC 284: Makhachev vs. Volkanovski,Islam Makhachev,Alexander Volkanovski,UFC Lightweight Title,1
UFC 284: Makhachev vs. Volkanovski,Yair Rodriguez,Josh Emmett,UFC Interim Featherweight Title,1
UFC 283: Teixeira vs. Hill,Glover Teixeira,Jamahal Hill,UFC Light Heavyweight Title,1
UFC 283: Teixeira vs. Hill,Deiveson Figueiredo,Brandon Moreno,UFC Flyweight Title,1
UFC 281: Adesanya vs. Pereira,Israel Adesanya,Alex Pereira,UFC Middleweight Title,1
UFC 281: Adesanya vs. Pereira,Carla Esparza,Zhang Weili,UFC Women's Strawweight Title,1
UFC 280: Oliveira vs. Makhachev,Charles Oliveira,Islam Makhachev,UFC Lightweight Title,1
UFC 280: Oliveira vs. Makhachev,Aljamain Sterling,TJ Dillashaw,UFC Bantamweight Title,1
UFC 278: Usman vs. Edwards,Kamaru Usman,Leon Edwards,UFC Welterweight Title,1
UFC 277: Pena vs. Nunes 2,Julianna Pena,Amanda Nunes,UFC Women's Bantamweight Title,1
UFC 277: Pena vs. Nunes 2,Brandon Moreno,Kai Kara-France,UFC Interim Flyweight Title,1
UFC 276: Adesanya vs. Cannonier,Israel Adesanya,Jared Cannonier,UFC Middleweight Title,1
UFC 276: Adesanya vs. Cannonier,Alexander Volkanovski,Max Holloway,UFC Featherweight Title,1
UFC 275: Teixeira vs. Prochazka,Glover Teixeira,Jiri Prochazka,UFC Light Heavyweight Title,1
UFC 275: Teixeira vs. Prochazka,Valentina Shevchenko,Taila Santos,UFC Women's Flyweight Title,1
UFC 274: Oliveira vs. Gaethje,Rose Namajunas,Carla Esparza,UFC Women's Strawweight Title,1
UFC 273: Volkanovski vs. The Korean Zombie,Alexander Volkanovski,Chan Sung Jung,UFC Featherweight Title,1
UFC 273: Volkanovski vs. The Korean Zombie,Aljamain Sterling,Petr Yan,UFC Bantamweight Title,1
UFC 271: Adesanya vs. Whittaker 2,Israel Adesanya,Robert Whittaker,UFC Middleweight Title,1
UFC 270: Ngannou vs. Gane,Francis Ngannou,Ciryl Gane,UFC Heavyweight Title,1
UFC 270: Ngannou vs. Gane,Brandon Moreno,Deiveson Figueiredo,UFC Flyweight Title,1
UFC 269: Oliveira vs. Poirier,Charles Oliveira,Dustin Poirier,UFC Lightweight Title,1
UFC 269: Oliveira vs. Poirier,Amanda Nunes,Julianna Pena,UFC Women's Bantamweight Title,1
UFC 268: Usman vs. Covington 2,Kamaru Usman,Colby Covington,UFC Welterweight Title,1
UFC 268: Usman vs. Covington 2,Rose Namajunas,Zhang Weili,UFC Women's Strawweight Title,1
UFC 267: Blachowicz vs. Teixeira,Jan Blachowicz,Glover Teixeira,UFC Light Heavyweight Title,1
UFC 267: Blachowicz vs. Teixeira,Petr Yan,Cory Sandhagen,UFC Interim Bantamweight Title,1
UFC 266: Volkanovski vs. Ortega,Alexander Volkanovski,Brian Ortega,UFC Featherweight Title,1
UFC 266: Volkanovski vs. Ortega,Valentina Shevchenko,Lauren Murphy,UFC Women's Flyweight Title,1
UFC 265: Lewis vs. Gane,Derrick Lewis,Ciryl Gane,UFC Interim Heavyweight Title,1
UFC 263: Adesanya vs. Vettori 2,Israel Adesanya,Marvin Vettori,UFC Middleweight Title,1
UFC 263: Adesanya vs. Vettori 2,Deiveson Figueiredo,Brandon Moreno,UFC Flyweight Title,1
UFC 262: Oliveira vs. Chandler,Charles Oliveira,Michael Chandler,UFC Lightweight Title,1
UFC 261: Usman vs. Masvidal 2,Kamaru Usman,Jorge Masvidal,UFC Welterweight Title,1
UFC 261: Usman vs. Masvidal 2,Zhang Weili,Rose Namajunas,UFC Women's Strawweight Title,1
UFC 261: Usman vs. Masvidal 2,Valentina Shevchenko,Jessica Andrade,UFC Women's Flyweight Title,1
UFC 260: Miocic vs. Ngannou,Stipe Miocic,Francis Ngannou,UFC Heavyweight Title,1
UFC 259: Blachowicz vs. Adesanya,Jan Blachowicz,Israel Adesanya,UFC Light Heavyweight Title,1
UFC 259: Blachowicz vs. Adesanya,Amanda Nunes,Megan Anderson,UFC Women's Featherweight Title,1
UFC 259: Blachowicz vs. Adesanya,Petr Yan,Aljamain Sterling,UFC Bantamweight Title,1
UFC 258: Usman vs. Burns,Kamaru Usman,Gilbert Burns,UFC Welterweight Title,1
UFC 255: Figueiredo vs. Perez,Deiveson Figueiredo,Alex Perez,UFC Flyweight Title,1
UFC 255: Figueiredo vs. Perez,Valentina Shevchenko,Jennifer Maia,UFC Women's Flyweight Title,1
UFC 254: Khabib vs. Gaethje,Khabib Nurmagomedov,Justin Gaethje,UFC Lightweight Title,1
UFC 253: Adesanya vs. Costa,Israel Adesanya,Paulo Costa,UFC Middleweight Title,1
UFC 253: Adesanya vs. Costa,Dominick Reyes,Jan Blachowicz,UFC Light Heavyweight Title,1
UFC 252: Miocic vs. Cormier 3,Stipe Miocic,Daniel Cormier,UFC Heavyweight Title,1
UFC Fight Night: Figueiredo vs. Benavidez 2,Deiveson Figueiredo,Joseph Benavidez,UFC Flyweight Title,1
UFC 251: Usman vs. Masvidal,Kamaru Usman,Jorge Masvidal,UFC Welterweight Title,1
UFC 251: Usman vs. Masvidal,Alexander Volkanovski,Max Holloway,UFC Featherweight Title,1
UFC 251: Usman vs. Masvidal,Petr Yan,Jose Aldo,UFC Bantamweight Title,1
UFC 250: Nunes vs. Spencer,Amanda Nunes,Felicia Spencer,UFC Women's Featherweight Title,1
UFC 249: Ferguson vs. Gaethje,Tony Ferguson,Justin Gaethje,UFC Interim Lightweight Title,1
UFC 249: Ferguson vs. Gaethje,Henry Cejudo,Dominick Cruz,UFC Bantamweight Title,1
UFC 248: Adesanya vs. Romero,Israel Adesanya,Yoel Romero,UFC Middleweight Title,1
UFC 248: Adesanya vs. Romero,Zhang Weili,Joanna Jedrzejczyk,UFC Women's Strawweight Title,1
UFC 247: Jones vs. Reyes,Jon Jones,Dominick Reyes,UFC Light Heavyweight Title,1
UFC 247: Jones vs. Reyes,Valentina Shevchenko,Katlyn Cerminara,UFC Women's Flyweight Title,1
UFC 245: Usman vs. Covington,Kamaru Usman,Colby Covington,UFC Welterweight Title,1
UFC 245: Usman vs. Covington,Max Holloway,Alexander Volkanovski,UFC Featherweight Title,1
UFC 245: Usman vs. Covington,Amanda Nunes,Germaine de Randamie,UFC Women's Bantamweight Title,1
UFC 243: Whittaker vs. Adesanya,Robert Whittaker,Israel Adesanya,UFC Middleweight Title,1
UFC 242: Khabib vs. Poirier,Khabib Nurmagomedov,Dustin Poirier,UFC Lightweight Title,1
UFC Fight Night: Andrade vs. Zhang,Jessica Andrade,Zhang Weili,UFC Women's Strawweight Title,1
UFC 241: Cormier vs. Miocic 2,Daniel Cormier,Stipe Miocic,UFC Heavyweight Title,1
UFC Fight Night: Shevchenko vs. Carmouche 2,Valentina Shevchenko,Liz Carmouche,UFC Women's Flyweight Title,1
UFC 240: Holloway vs. Edgar,Max Holloway,Frankie Edgar,UFC Featherweight Title,1
UFC 239: Jones vs. Santos,Jon Jones,Thiago Santos,UFC Light Heavyweight Title,1
UFC 239: Jones vs. Santos,Amanda Nunes,Holly Holm,UFC Women's Bantamweight Title,1
UFC 238: Cejudo vs. Moraes,Henry Cejudo,Marlon Moraes,UFC Bantamweight Title,1
UFC 238: Cejudo vs. Moraes,Valentina Shevchenko,Jessica Eye,UFC Women's Flyweight Title,1
UFC 237: Namajunas vs. Andrade,Rose Namajunas,Jessica Andrade,UFC Women's Strawweight Title,1
UFC 236: Holloway vs. Poirier 2,Max Holloway,Dustin Poirier,UFC Interim Lightweight Title,1
UFC 236: Holloway vs. Poirier 2,Kelvin Gastelum,Israel Adesanya,UFC Interim Middleweight Title,1
UFC 235: Jones vs. Smith,Jon Jones,Anthony Smith,UFC Light Heavyweight Title,1
UFC 235: Jones vs. Smith,Tyron Woodley,Kamaru Usman,UFC Welterweight Title,1
UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo,TJ Dillashaw,UFC Flyweight Title,1
UFC 232: Jones vs. Gustafsson 2,Jon Jones,Alexander Gustafsson,UFC Light Heavyweight Title,1
UFC 232: Jones vs. Gustafsson 2,Cristiane Justino,Amanda Nunes,UFC Women's Featherweight Title,1
UFC 231: Holloway vs. Ortega,Max Holloway,Brian Ortega,UFC Featherweight Title,1
UFC 231: Holloway vs. Ortega,Valentina Shevchenko,Joanna Jedrzejczyk,UFC Women's Flyweight Title,1
The Ultimate Fighter: Heavy Hitters Finale,Juan Espino,Justin Frazier,Ultimate Fighter 28 Heavyweight Tournament Title,1
The Ultimate Fighter: Heavy Hitters Finale,Pannie Kianzad,Macy Chiasson,Ultimate Fighter 28 Women's Featherweight Tournament Title,1
UFC 230: Cormier vs. Lewis,Daniel Cormier,Derrick Lewis,UFC Heavyweight Title,1
